"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.08065112311E+008, +8.29642379449E-001, -3.26350037297E-001
+7.23072284216E+008, +8.31374004700E-001, -3.22655724144E-001
+7.38079456121E+008, +8.31009913976E-001, -3.18088379793E-001
+7.53086628027E+008, +8.27090113444E-001, -3.15769137488E-001
+7.68093799932E+008, +8.19103660674E-001, -3.17690111692E-001
+7.83100971837E+008, +8.07117580353E-001, -3.25534096806E-001
+7.98108143742E+008, +7.94369169973E-001, -3.36469019334E-001
+8.13115315648E+008, +7.83776509077E-001, -3.51460603309E-001
+8.28122487553E+008, +7.77747100789E-001, -3.63879157542E-001
+8.43129659458E+008, +7.76789898884E-001, -3.69996724961E-001
+8.60567862154E+008, +7.80209105431E-001, -3.68835171376E-001
+8.81189596327E+008, +7.83890247201E-001, -3.60471235578E-001
+9.01811330501E+008, +7.80269955719E-001, -3.52741038952E-001
+9.22433064674E+008, +7.67234653191E-001, -3.52325110735E-001
+9.43054798847E+008, +7.48304695850E-001, -3.65091307831E-001
+9.63676533021E+008, +7.30768262555E-001, -3.86572586905E-001
+9.84298267194E+008, +7.23272516630E-001, -4.05061980103E-001
+1.00492000137E+009, +7.28935214109E-001, -4.06099845851E-001
+1.02554173554E+009, +7.39717935326E-001, -3.90066581627E-001
+1.04616346971E+009, +7.46506136271E-001, -3.64955539524E-001
+1.06678520389E+009, +7.40817945946E-001, -3.46768983160E-001
+1.08740693806E+009, +7.22113520092E-001, -3.47594437957E-001
+1.10802867223E+009, +6.98273174393E-001, -3.69541917145E-001
+1.12865040641E+009, +6.78087387126E-001, -4.04407506865E-001
+1.14927214058E+009, +6.68869007719E-001, -4.32116679248E-001
+1.16989387475E+009, +6.74451714349E-001, -4.37833642544E-001
+1.19409044558E+009, +6.86774709755E-001, -4.16269463647E-001
+1.22239864857E+009, +6.89354058745E-001, -3.80445381787E-001
+1.25070685156E+009, +6.70806327685E-001, -3.71935649265E-001
+1.27901505455E+009, +6.45610257470E-001, -3.99777196696E-001
+1.30732325754E+009, +6.32856719718E-001, -4.30844315689E-001
+1.33563146054E+009, +6.36669190277E-001, -4.31223405998E-001
+1.36393966353E+009, +6.41161631420E-001, -4.04174968871E-001
+1.39224786652E+009, +6.29074744624E-001, -3.87257958389E-001
+1.42055606951E+009, +6.04525995101E-001, -4.01969853050E-001
+1.44886427250E+009, +5.86099491248E-001, -4.33035466091E-001
+1.47717247549E+009, +5.85449365459E-001, -4.44482963405E-001
+1.50548067848E+009, +5.89955026549E-001, -4.30861093592E-001
+1.53378888148E+009, +5.86983290421E-001, -4.08381113231E-001
+1.56209708447E+009, +5.71724889094E-001, -4.04784844657E-001
+1.59040528746E+009, +5.56130522635E-001, -4.21537898419E-001
+1.62329917212E+009, +5.49117256410E-001, -4.38530908368E-001
+1.66219818925E+009, +5.47198304992E-001, -4.26932667186E-001
+1.70109720638E+009, +5.31204160095E-001, -4.15012163330E-001
+1.73999622351E+009, +5.11761319725E-001, -4.32162107291E-001
+1.77889524064E+009, +5.07631360208E-001, -4.43992484874E-001
+1.81779425777E+009, +5.02127157845E-001, -4.30049849221E-001
+1.85669327490E+009, +4.85723291973E-001, -4.23388903831E-001
+1.89559229203E+009, +4.69038680706E-001, -4.43358258555E-001
+1.93449130915E+009, +4.64570998755E-001, -4.51670821300E-001
+1.97339032628E+009, +4.60031210322E-001, -4.32864753607E-001
+2.01228934341E+009, +4.39466002339E-001, -4.31890940039E-001
+2.05118836054E+009, +4.21363964052E-001, -4.57446766776E-001
+2.09008737767E+009, +4.23252839694E-001, -4.62263467171E-001
+2.12898639480E+009, +4.25407648404E-001, -4.36700382998E-001
+2.16788541193E+009, +4.15911217475E-001, -4.35057263844E-001
+2.20678442906E+009, +3.88520038730E-001, -4.61882590529E-001
+2.25242670217E+009, +3.94846367511E-001, -4.62093821237E-001
+2.30582479487E+009, +4.06984386909E-001, -4.27942806787E-001
+2.35922288757E+009, +3.73959961267E-001, -4.45805646683E-001
+2.41262098027E+009, +3.75506393454E-001, -4.54927118142E-001
+2.46601907298E+009, +3.95951967201E-001, -4.20243108395E-001
+2.51941716568E+009, +3.64650536785E-001, -4.29298809655E-001
+2.57281525838E+009, +3.66928409875E-001, -4.36700952132E-001
+2.62621335108E+009, +3.87520364766E-001, -4.04388357375E-001
+2.67961144379E+009, +3.62012632804E-001, -4.05893139705E-001
+2.73300953649E+009, +3.51810817356E-001, -4.11890896416E-001
+2.78640762919E+009, +3.59708455511E-001, -3.98406556412E-001
+2.83980572189E+009, +3.37510633825E-001, -3.99054552654E-001
+2.89320381460E+009, +3.28587218524E-001, -4.04888046080E-001
+2.94660190730E+009, +3.35462466610E-001, -3.96656844990E-001
+3.00000000000E+009, +3.20904405090E-001, -3.91792329335E-001
