"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.31060965773E+008, +8.22995182966E-001, -4.83493573942E-001
+4.39016794289E+008, +8.19025033287E-001, -4.88889343304E-001
+4.46972622805E+008, +8.13744859041E-001, -4.94948605445E-001
+4.56217226062E+008, +8.05208740013E-001, -5.03695487919E-001
+4.67149531084E+008, +7.92776412662E-001, -5.15430077797E-001
+4.78081836106E+008, +7.79019269799E-001, -5.28107587914E-001
+4.89014141128E+008, +7.65132481118E-001, -5.41276946842E-001
+4.99946446150E+008, +7.51941786545E-001, -5.54800274490E-001
+5.10878751172E+008, +7.40842472456E-001, -5.66639755577E-001
+5.21811056194E+008, +7.32062237392E-001, -5.77986989726E-001
+5.32743361216E+008, +7.26088815065E-001, -5.87986642681E-001
+5.43675666238E+008, +7.22696390150E-001, -5.95333837263E-001
+5.54607971260E+008, +7.20191406205E-001, -6.01596032430E-001
+5.65540276281E+008, +7.18165876134E-001, -6.06029980778E-001
+5.76472581303E+008, +7.15088246637E-001, -6.09797627171E-001
+5.87404886325E+008, +7.10176879324E-001, -6.13447682847E-001
+5.98337191347E+008, +7.02756409398E-001, -6.17490482072E-001
+6.09269496369E+008, +6.92915513903E-001, -6.23067501986E-001
+6.20201801391E+008, +6.80588627363E-001, -6.29613065312E-001
+6.33029252784E+008, +6.64143490877E-001, -6.39706424829E-001
+6.48036424690E+008, +6.46321556554E-001, -6.52153712537E-001
+6.63043596595E+008, +6.31949231334E-001, -6.64476763458E-001
+6.78050768500E+008, +6.21406092518E-001, -6.77054946838E-001
+6.93057940405E+008, +6.15652675154E-001, -6.86345523544E-001
+7.08065112311E+008, +6.13023749895E-001, -6.90706572252E-001
+7.23072284216E+008, +6.09760044860E-001, -6.93223431229E-001
+7.38079456121E+008, +6.02562467911E-001, -6.95542738073E-001
+7.53086628027E+008, +5.89590236026E-001, -6.99943566506E-001
+7.68093799932E+008, +5.71028791710E-001, -7.07072593636E-001
+7.83100971837E+008, +5.47696036218E-001, -7.17377681369E-001
+7.98108143742E+008, +5.25124415799E-001, -7.28244565048E-001
+8.13115315648E+008, +5.05664179965E-001, -7.41086276459E-001
+8.28122487553E+008, +4.94201400946E-001, -7.51316840934E-001
+8.43129659458E+008, +4.91241003755E-001, -7.57268534972E-001
+8.60567862154E+008, +4.93462118632E-001, -7.59807963494E-001
+8.81189596327E+008, +4.92343637323E-001, -7.59468270963E-001
+9.01811330501E+008, +4.77726433057E-001, -7.60182460247E-001
+9.22433064674E+008, +4.49977275212E-001, -7.65389819340E-001
+9.43054798847E+008, +4.15491345265E-001, -7.77946759490E-001
+9.63676533021E+008, +3.86539020126E-001, -7.93722776601E-001
+9.84298267194E+008, +3.74022458292E-001, -8.05719413949E-001
+1.00492000137E+009, +3.81529926107E-001, -8.05910574313E-001
+1.02554173554E+009, +3.94881195916E-001, -7.94827588671E-001
+1.04616346971E+009, +4.00656077898E-001, -7.82449746314E-001
+1.06678520389E+009, +3.82525739286E-001, -7.80782608894E-001
+1.08740693806E+009, +3.40984742210E-001, -7.91385678826E-001
+1.10802867223E+009, +2.92772400628E-001, -8.11181983753E-001
+1.12865040641E+009, +2.55454308348E-001, -8.32371372208E-001
+1.14927214058E+009, +2.43036176690E-001, -8.44152283916E-001
+1.16989387475E+009, +2.54944714901E-001, -8.43566219323E-001
+1.19409044558E+009, +2.74772555698E-001, -8.29148855627E-001
+1.22239864857E+009, +2.70635728421E-001, -8.14016633393E-001
+1.25070685156E+009, +2.25045570598E-001, -8.18982621217E-001
+1.27901505455E+009, +1.70027183746E-001, -8.37842195028E-001
+1.30732325754E+009, +1.46549362193E-001, -8.49160034875E-001
+1.33563146054E+009, +1.54542418208E-001, -8.42447335239E-001
+1.36393966353E+009, +1.59218485497E-001, -8.26833357376E-001
+1.39224786652E+009, +1.27784554679E-001, -8.22617987468E-001
+1.42055606951E+009, +7.53796179208E-002, -8.31861380270E-001
+1.44886427250E+009, +4.29873035401E-002, -8.42436321565E-001
+1.47717247549E+009, +4.85685299317E-002, -8.41072516672E-001
+1.50548067848E+009, +5.83240916498E-002, -8.29691536705E-001
+1.53378888148E+009, +4.81736873639E-002, -8.19740517322E-001
+1.56209708447E+009, +1.37418389930E-002, -8.21221517087E-001
+1.59040528746E+009, -1.94579820969E-002, -8.29309860156E-001
+1.62329917212E+009, -3.36618585910E-002, -8.30559132258E-001
+1.66219818925E+009, -3.57493812533E-002, -8.16390088143E-001
+1.70109720638E+009, -6.71490009282E-002, -8.09490828176E-001
+1.73999622351E+009, -1.07752998769E-001, -8.14553016640E-001
+1.77889524064E+009, -1.15283496160E-001, -8.10094759944E-001
+1.81779425777E+009, -1.18461612239E-001, -7.94449106694E-001
+1.85669327490E+009, -1.50212919780E-001, -7.91444761985E-001
+1.89559229203E+009, -1.85250711893E-001, -7.94350226239E-001
+1.93449130915E+009, -1.89125417224E-001, -7.85439896088E-001
+1.97339032628E+009, -1.94234119110E-001, -7.70301534261E-001
+2.01228934341E+009, -2.33704857047E-001, -7.64639526553E-001
+2.05118836054E+009, -2.59615799088E-001, -7.63887851100E-001
+2.09008737767E+009, -2.41356806586E-001, -7.56940188128E-001
+2.12898639480E+009, -2.34524701510E-001, -7.41885420692E-001
+2.16788541193E+009, -2.72199100996E-001, -7.43879285434E-001
+2.20678442906E+009, -3.01884964802E-001, -7.36447811396E-001
+2.25242670217E+009, -2.67349726799E-001, -7.38614756133E-001
+2.30582479487E+009, -2.76053789850E-001, -7.31433345034E-001
+2.35922288757E+009, -3.29710714798E-001, -7.12478257582E-001
+2.41262098027E+009, -2.95155170170E-001, -7.20951664590E-001
+2.46601907298E+009, -2.97485550800E-001, -7.13269444504E-001
+2.51941716568E+009, -3.46885032973E-001, -6.89869477349E-001
+2.57281525838E+009, -3.16690186332E-001, -7.01778830987E-001
+2.62621335108E+009, -3.20372525655E-001, -6.93711673333E-001
+2.67961144379E+009, -3.65671841481E-001, -6.64423858836E-001
+2.73300953649E+009, -3.59953565668E-001, -6.67165353580E-001
+2.78640762919E+009, -3.74411687159E-001, -6.58411387433E-001
+2.83980572189E+009, -4.01813340919E-001, -6.32845169352E-001
+2.89320381460E+009, -4.01060007649E-001, -6.38193253802E-001
+2.94660190730E+009, -4.08254507845E-001, -6.29495176684E-001
+3.00000000000E+009, -4.19642614570E-001, -6.10247707254E-001
